kaggle_dataset,gcs_path
malignant-v2-512x512,gs://kds-0d477718418961fee4483712e6a7f1ce526d038c6ef905940ee637b8
malignant-v2-768x768,gs://kds-35b3c392330da0abffc562b4b5e539c735ce33c24fec68fafccf2328
malware-timestamps,gs://kds-506188ce93e53f99daff22618555feb47930bd655d0125525c9ea707
malware-timestamps-2,gs://kds-22431f14880076cc17813d4a4c83b4cf8f6134df4a93392eb639ec60
mbti-type,gs://kds-60b4ec8a59144cb4ac990fb8fa87287db2903e1e8fa01339fcfea703
melanoma-1024x1024,gs://kds-6221d9ee27c7f4f209af9f970926f4a33dd56facac8eae29c0124380
melanoma-128x128,gs://kds-56c85f3fb285c7997b2b40a34d8d3a28a2348744246ba8f94d7aa621
melanoma-192x192,gs://kds-c68fb3b4435e216f4b7a62405fd83b44ea4e88d81fc7812220f3a55e
melanoma-256x256,gs://kds-dffc4fc041639d63f5cb739622149422dbd485d2bd7f66a514c67fae
melanoma-384x384,gs://kds-30a0c9f78d3675d10f6b6546877a20d24100810cef730172979b36af
melanoma-512x512,gs://kds-df537acf009e02b1d4427274d18970a1b0101b1ca26824bae39b5b4b
melanoma-768x768,gs://kds-79662e42fc05f15bf1149504a028b04213a0218d96b9180368ce47a5
melanoma-csv-files,gs://kds-72856d4331480c95c98b7801b0bc5793fb3ecf9979c2ecad2fe8f5e5
melanoma-image-embeddings,gs://kds-64f1c794ebcffb7860dd91811eff547e63eb5827b2fa6eb22a455a26
melanoma-merged-external-data-512x512-jpeg,gs://kds-d755160b932a39260e10e74ab8795d927cf0e4bda39eef39f967a446
melanomapreds,gs://kds-29641ff755bbd06dc8b81409548b1b5b1115b111f0ff309297c0f328
melanoma-public-checkpoints,gs://kds-fe3ab955a6636e3ff04f940b484521a97668197a98ea562c7a188ae7
melanoma-v1-128x128,gs://kds-9e0210b4855e2c78c3d5530f5d5e6455a946d7131b749ef7586308f4
melanoma-v1-192x192,gs://kds-ae6561f10c45515a44802146df8c15c2bee9d8614bad2d68a102daf7
melanoma-v1-256x256,gs://kds-b99de3bbf1d3442feecb1890c9dedd7f587e926bd2825f6411d5741b
mental-health-in-tech-survey,gs://kds-02e214ef9caffa20405a2d27561c761830adf95122db83011855a537
mlcourse,gs://kds-2c3991eb0466ac50eaae7599da7071abc2a631acf093c90c0e61fd1d
multitpu-inference,gs://kds-dca4c2d578fd2896fa26f4b1d75e40f9a01719dfc49551f5679d8c3d
mushroom-classification,gs://kds-2198632a351b4f9dc661526a25a8f9e30404bd868070b61be9fb7368
nba-players-stats,gs://kds-c8ab980ce733a3a332543e0510f36af9d9f3c54dadb7bc5e43c312c5
netflix-prize-data,gs://kds-03224c277e63de9dab7a04d10f00836c7d06fecc749b82b4931340d6
netflix-shows,gs://kds-fec413ad7189c07f47c5f0648f02f4817442f0d1d87cb982225e7ba4
news-headlines-dataset-for-sarcasm-detection,gs://kds-4ff1eef38c1512e5760d54b675b5aa727b2dce72268fb0f3b673a902
new-york-city-airbnb-open-data,gs://kds-5284cdbd90896f60d9597c6663f07600c1065ae81858fca9f0e62cc8
nflplaybyplay2009to2016,gs://kds-ef5d67935fae48f14b8fc06afd05e2a2ca91ecc30db06538a60246c3
noshowappointments,gs://kds-edc4a34613cbcdbc7fa0a275ff122dbb3dd92dabf327098efa9388b5
novel-corona-virus-2019-dataset,gs://kds-d61e3c419fd06e522a84ba4d9a5ab62b9995001ee2d21d835e44aa1f
nyse,gs://kds-f86e7884ef34a73768ff026b26eb361c2cd0cfceb5c1620e2ab390f3
omegaconf,gs://kds-447824ceb95d2abc0e4921e1456d99913256270fa4c7638fd0529f50
open-subtitles-toxic-pseudo-labeling,gs://kds-50424ab75b8ccd757f27a9cdbf87100cdddf424f9823b01823b8d384
oxford-flowers-tfrecords,gs://kds-9aa893abda9aaa05b28596922337bac642b475f88e7a6db37316603c
paysim1,gs://kds-4a5e69af3256775301e991c7a189a4e1e6c6c980ebc864f69bd1b544
pima-indians-diabetes-database,gs://kds-bfbc7feffca02170b6dd7a2c2b70be1fa7b4c07b511dc73a63d51ea5
pokemon,gs://kds-8a69ba0841f34dabdd16da0eb5e117582d89f14e0956ac3e04d02726
pokemon,gs://kds-60e27dbf92cb38cc2c128d670509a0720066b79fa66954e892342251
predicting-a-pulsar-star,gs://kds-2df10e2b2c3ce25da1b1112b8f71d1c8feb155360574add26e26793f
predictions,gs://kds-c69a4c49b25c5ae3be59a48edf53f5e47edc937f5e5b261930f8ca6d
pretrained-jasper10x5dr-nomask,gs://kds-9cdb96cc24f4df04d18f79fa1c447113c1cf5bb58a04ea2a5bc6cb10
price-volume-data-for-all-us-stocks-etfs,gs://kds-373392291ba567ab691b76fecd084d2c432bcc41bc6d3e9481a1c919
pytorchefficientnet,gs://kds-b254f7c18ae182de61e66216ac456afa796e7421a87d6069ed195cba
rapids,gs://kds-e81488858c3425e2cb3f9eb36d42ac505981b97c02917bb2c898505c
red-wine-quality-cortez-et-al-2009,gs://kds-3abebcde4af6e8e99ec7997eeb8cab28ca0b52f2c7a209ff89e6e012
russian-numbers-asr,gs://kds-56aaca6d3fe924fc0fde66764302532dbb76abc91929af002b35c7ea
sandp500,gs://kds-3fb6ec66e5710a84f242d0b8971301ec5d40a05a08c191dac07b1d49
sentiment140,gs://kds-a79015bef8400079cfde8cdd2a028be3491b9cc1f51a21f0f8ee88d6
sf-salaries,gs://kds-4f6acdd9d946c98d16247f8998159d2c1916b7d552669faf3a3ee9b9
sign-language-digits-dataset,gs://kds-c18b1ce545920c4ae8215ed4d27b5d0f7750de61b4cb246d75d14ff0
sign-language-mnist,gs://kds-3ff1a3acb46b9cd7e35fa3eb8225d4095ffc5ce3f81f895f8b9c20bb
siim-512x512-tfrec-q95,gs://kds-cf97595aa8edf68d526e06cba9e93923a24d20742150a0bdf3f10f64
siim-512x512-tfrec-q95-test,gs://kds-4b4016d302d8240715c84c06a9beecaccacc1fcea5441af592798f99
siim-benchmark-submission,gs://kds-51c0fa39fcd27a5d8a5d8eacd7f6002ee39f404863ae6ad0a821892d
siim-cc-jpegs-128-train,gs://kds-3117d28c599e3657b1690b0870477a4aef22cd9550c5e6ec13a13d74
siim-cc-jpegs-256-external,gs://kds-f7ef1bd842fd53295d78aa89208a2182a91e2a9c74c34de41fc5ca97
siim-cc-jpegs-256-test,gs://kds-6f3c7f0cf4f1ae764f314c54e1fbadb4ac6136afab7974d4b5079381
siim-cc-jpegs-256-train,gs://kds-189f8ad7f21bb9805ef22dd74a16b0335562f1db3366c81f92c75274
siim-cc-jpegs-384-external,gs://kds-1c42d03817bd90b322b0894e8c29dc2d8919dfdd5a41b7457d5a411f
siim-cc-jpegs-384-test,gs://kds-8376a15824b2674e72ad9a4474b942ef30e6b83b43dbb3bd88f28726
siim-cc-jpegs-384-train,gs://kds-6d371b175cac8fc4653b8488dc573c85fa67264e1ee47a63305bcbe7
siim-cc-jpegs-768-train-part-1,gs://kds-9e7d5bc830a65b90237d1ceda815e37443152a540d69e8dfaf7ba45d
siim-cc-jpegs-768-train-part-2,gs://kds-b20b80321077c1e6a1bcfb9f3055e537d71b3449a241722ad168ae79
siim-color-constant-512-train,gs://kds-47b86e90e6a4924bf8ed5670cda8a46ec6fdfc3d3a4d6d1bac3eaefa
siim-external-data-isic-2019-tfrec-512,gs://kds-3b9dd7203de4a0e0baea0ad6a0813a055ba971578374cebea25f4dbd
siim-isic-melanoma-classification,gs://kds-f809fea39df606e89617cd8d8e4cacc083fb6e176982f0e5d69215a8
siimisic-melanoma-classification-npy-224-cv2,gs://kds-5b4d8bdc0b9eebfc283dc456e5983744b8682e9d5415739aab0414bf
siim-jpegs-512-extra-malignant,gs://kds-70063b654c0722deb8463863b65da1efdd21a33088383b2a7d741e00
siim-png-cc-tfrecords-512-extra-malignant,gs://kds-a933b89114e5b188fb05377575b65a8c3cefe4c1ccd66090cee8694b
siim-png-cc-tfrecords-640-extra-malignant,gs://kds-72ba4743ad6f8111a713590fbdf616d94c72af5f3af08a3cd96653bf
siim-png-cc-tfrecords-640-isic-2019-old,gs://kds-1ae6762135ad53317cf6e7361078cb2004a0a87f1f0277257407475c
siim-png-cc-tfrecords-640-test,gs://kds-ebd256dfcf111dabe06e5379e07fea51b3c6c34a2e871eaebb0ffd56
siim-png-cc-tfrecords-640-train,gs://kds-fa491846f1d125b66d8877712e95e45ce0dd1666fddd9b850ade45fb
siim-pngs-224-test,gs://kds-a720b7a806df1807472d3bc776549fa9a295608f988b9f595cd83b52
siim-pngs-224-train,gs://kds-ef1ae9325f323453eb884c60dea3424d7be02c891e55c7b90bbf1f3b
siim-pngs-512-test,gs://kds-3393bc3068362ecee2517bd354604823df97bac9dd56106d82c3aa55
siim-pngs-512-train,gs://kds-bd6c7a8b4806562a0c4840add6352121eb0ca864f7fe2e4a985a6031
siim-pngs-640-test,gs://kds-11c6da55a362e54596861f19c44542cc48b19daec1b8248129d81676
siim-pngs-640-train,gs://kds-e24d6ec8307be711357c5a3f9db622bd91516e6376ff339f4d28f08a
siim-pngs-768-test-part-1,gs://kds-a9415e84b4aeaad127d1cded17b6f3c059edd992330403b72cd766c1
siim-pngs-768-test-part-2,gs://kds-d394c56d9ad96cf597a7a3588d88f2f2e87f2f739260e8d2b6c8edd6
siim-pngs-768-train-part-1,gs://kds-e9b6cf31662c0836b00e8303a118b08837ed18893b3fb2194c272e0a
siim-pngs-768-train-part-2,gs://kds-09852bc5e2fc2ff33de172445386c0eb0cf90a731e3821249b4dddf6
siim-pngs-768-train-part-3,gs://kds-b1416cf9bc848267c4951275d83e00e97239377108f098e848bb142f
siim-pngs-768-train-part-4,gs://kds-706eeaf1632f701343f699029efb116caf8d8dfc14e305c527da7b9f
siim-pngs-768-train-part-5,gs://kds-88c12b1cf524ebba9ba90c942715326183571e0780e3fbd369758241
siim-png-tfrecords-224-test,gs://kds-f5d7e3053b5395e04aa5cd36885b584d8347d3aec48cd29516c95476
siim-png-tfrecords-224-train,gs://kds-3aeb3531cb0dec68bf9ea4fd0f034eda5f04dfcb116e5ab5327f4636
siim-png-tfrecords-3s-512-train,gs://kds-e0b7bfdf919f40d46dc7da685f8898326ad113d9355d27fc95e47979
siim-png-tfrecords-3s-640-train,gs://kds-5b669ba17209080c86fdf4807b66b8001afb2508d286b167dd3f3634
siim-png-tfrecords-3s-cc-512-train,gs://kds-7fccf827910161f20a817fd4c5c4827a0a6b4271d4b78439c8accd8d
siim-png-tfrecords-512-extra-malignant,gs://kds-20be3d581748af9fef35961b9801afaf826594ae493313d48a5e9928
siim-png-tfrecords-512-isic-2019-new,gs://kds-18a31793edc6d42fa7792272366b4df71e46ff8dd2a6b0e7ce07d1dd
siim-png-tfrecords-512-isic-2019-old,gs://kds-3521887f7a5483e48a1a3d97ec7681a592d8cf3b11aa61a5a73178f1
siim-png-tfrecords-512-test,gs://kds-6c9f9a52f60792f6dee35829356c3595b27cdfd9a0a6797fb1f89d81
siim-png-tfrecords-512-train,gs://kds-54751aa25d9b201bcaf1f5b536ce2cee2718f5357774e675ed1c4e92
siim-png-tfrecords-640-extra-malignant,gs://kds-fd8b913c678308c876dc2d650f01ad85247d57fc6774a6d6a4801171
siim-png-tfrecords-640-isic-2019-old,gs://kds-fd785f16869d8214d5eca75e751d8e585babb0b281123bb9c57aa478
siim-png-tfrecords-640-test,gs://kds-4dabf85e5eec8e208110f208305a5727c57b9b87121f2a721d8258eb
siim-tfrec-1024-part-3,gs://kds-b09c72397075623a0610da5624c3afd6ad9a0807458262a72bbe11bd
siim-tfrec-1024-test,gs://kds-5dfcd258dbf45ca01b7ba58d3d9acd877947db06949b4eb8889ccd4a
siim-tfrec-1024-train-part-1,gs://kds-1ffc3243c99847b4019b02b267c80454102e7a493c947a7f46b2fc6d
siim-tfrec-1024-train-part-2,gs://kds-a98d7b54c0948fa9e98994be20e16cb155e6f750be489f8f4a02d707
siim-tfrec-224-test,gs://kds-2e253b5c97492d3442ccadf44ea3ad252db24d55d6c1d24e5597f0d3
siim-tfrec-224-train,gs://kds-8d344e58166118525f170bd11d5b4260787c6d586b03213f2c8b0781
siim-tfrec-256-test,gs://kds-6eb69dc618830e8ed0ffb4ad4c10befe269a6a9d30f4983a4d3a2ad2
siim-tfrec-256-train,gs://kds-299f289d93cc4e5ab6b26a92e602f28d02590d86d86293a0ca3be926
siim-tfrec-384-test,gs://kds-a1e073c0f75ac3e30a5f9f526aefbf1bb6bf7b35871f63b6e0ec9475
siim-tfrec-384-train,gs://kds-31d1ba857c1b54b648d6d2ca244c086662f71948e7f14d81d91dfd79
siim-tfrec-768-test,gs://kds-fd802092dad24a3583c3bfc03dba6d2c989b07899a0a1005af0d7739
siim-tfrec-768-train-part-1,gs://kds-6efcfadd7b90746c244beb264639d426c444a9831a247d9af0acb952
siim-tfrec-768-train-part-2,gs://kds-d85c80fc180ae4b4d1fca4ba4d769356a4859d577a211116484a713d
siim-tfrec-cc-128-external,gs://kds-55512761febd386483aeccf148d6cbfc705c24371e85a88e2c68875b
siim-tfrec-cc-128-test,gs://kds-0bf59c2039cefa6a45ce0586b8232ae7a0aef18081c143d90ca44828
siim-tfrec-cc-128-train,gs://kds-58bf960fe4a3ef847a9556f578f55f4a868a2e09e2e0546c8e41fb5a
siim-tfrec-cc-256-external,gs://kds-fa5b680bfc6aecb43605578c35870ef519c93dee7202d296fc2c8034
siim-tfrec-cc-256-train,gs://kds-76ca0b22fa22cd8d1d35cf9fab4870a2fe27148c18e60f4ae81bf4e2
siim-tfrec-cc-384-external,gs://kds-1309e5093103bfff7bffd5450a49a382dd536d66334ea02d3816f8da
siim-tfrec-cc-384-test,gs://kds-b04a2e3c06aa0f0c005e413184a72826e908c595c788c4ced51cd3c1
siim-tfrec-cc-384-train,gs://kds-4d1f37306fa666bc0b305c02fd9b37345a22fadfd450346cd739fd5f
siim-tfrec-cc-512-external,gs://kds-cfe883cf8aaaf95a08dd613590f006770c71c68c86b5126696e371b9
siim-tfrec-cc-512-train,gs://kds-8d44d1d3c10e3f6adba9a03199486e4f98ec0de3b94e39dcd58021d0
siim-tfrec-cc-640-external,gs://kds-31297163ab9d01c12787b949198ea30fb96cdfb8b7975445277cbd6b
siim-tfrec-cc-640-test,gs://kds-46fb08041b0585d980c87c5c7842c8ea3bf944ff36ee2f3dea19cc32
siim-tfrec-cc-640-train,gs://kds-58f85ec38aa8be6cc448547138e4a1a8cbf1ccdbab64b60ad0025c41
siim-tfrec-cc-768-external,gs://kds-b017a5ce68a45a4c11190854077266024f926d3020e0e7f601866bb8
siim-tfrec-cc-768-test,gs://kds-b86aa3f4cdcf7689ccdd73b5ffceb8596b103ebc295aa1cef3c4c247
